"unigram","bigram","freq"
"back","on",25
"been","in",25
"but","she",25
"food","and",25
"had","an",25
"have","it",25
"it","just",25
"lack","of",25
"listen","to",25
"looks","like",25
"my","mind",25
"no","idea",25
"on","friday",25
"only","a",25
"onto","the",25
"people","are",25
"see","that",25
"thats","what",25
"the","american",25
"the","earth",25
"the","kitchen",25
"the","process",25
"then","the",25
"there","and",25
"they","do",25
"things","to",25
"time","of",25
"to","meet",25
"to","them",25
"us","and",25
"waiting","for",25
"was","still",25
"work","and",25
"you","might",25
"a","bad",24
"a","beautiful",24
"after","that",24
"an","old",24
"and","are",24
"and","make",24
"are","going",24
"are","still",24
"as","far",24
"be","used",24
"began","to",24
"but","for",24
"but","im",24
"but","to",24
"cant","wait",24
"come","back",24
"compared","to",24
"could","not",24
"didnt","want",24
"difficult","to",24
"end","up",24
"even","a",24
"find","out",24
"from","her",24
"get","it",24
"have","any",24
"him","a",24
"how","do",24
"how","many",24
"i","may",24
"in","to",24
"is","more",24
"is","there",24
"is","this",24
"just","the",24
"kinds","of",24
"my","mother",24
"my","parents",24
"now","that",24
"on","top",24
"once","again",24
"out","that",24
"right","to",24
"say","it",24
"say","the",24
"see","if",24
"so","im",24
"that","way",24
"the","blog",24
"the","government",24
"the","latest",24
"the","local",24
"the","question",24
"the","real",24
"the","things",24
"this","film",24
"this","to",24
"time","with",24
"to","just",24
"up","my",24
"when","a",24
"with","us",24
"a","more",23
"a","part",23
"a","piece",23
"all","my",23
"also","a",23
"attempt","to",23
"but","a",23
"can","only",23
"do","the",23
"ended","up",23
"focus","on",23
"from","this",23
"have","some",23
"having","to",23
"he","will",23
"her","own",23
"hope","to",23
"i","loved",23
"ill","be",23
"into","my",23
"involved","in",23
"is","how",23
"it","if",23
"it","looks",23
"last","time",23
"little","more",23
"looked","at",23
"me","on",23
"near","the",23
"next","week",23
"not","even",23
"on","earth",23
"on","its",23
"pick","up",23
"point","of",23
"said","it",23
"see","a",23
"so","he",23
"so","long",23
"some","people",23
"tell","me",23
"the","floor",23
"the","law",23
"the","room",23
"there","will",23
"things","i",23
"think","it",23
"through","a",23
"to","feel",23
"to","its",23
"to","mention",23
"to","not",23
"to","save",23
"turns","out",23
"two","years",23
"wait","to",23
"was","also",23
"was","one",23
"were","in",23
"what","he",23
"year","i",23
"years","and",23
"a","child",22
"a","woman",22
"a","wonderful",22
"again","i",22
"all","about",22
"also","be",22
"am","a",22
"and","over",22
"any","other",22
"are","some",22
"but","also",22
"but","when",22
"do","so",22
"do","this",22
"dont","like",22
"example","of",22
"find","it",22
"found","a",22
"friends","and",22
"from","their",22
"get","out",22
"good","and",22
"half","of",22
"happened","to",22
"have","made",22
"have","never",22
"he","didnt",22
"i","told",22
"if","she",22
"in","addition",22
"in","case",22
"in","there",22
"is","all",22
"is","only",22
"it","isnt",22
"left","the",22
"my","daughter",22
"off","and",22
"only","one",22
"or","two",22
"set","of",22
"so","this",22
"so","what",22
"some","time",22
"soon","as",22
"take","it",22
"that","all",22
"that","can",22
"that","doesnt",22
"that","his",22
"the","background",22
"the","beer",22
"the","company",22
"the","early",22
"the","kind",22
"the","perfect",22
"the","scene",22
"the","team",22
"the","work",22
"then","we",22
"thing","is",22
"thing","to",22
"this","point",22
"throughout","the",22
"time","in",22
"to","hold",22
"to","pick",22
"today","and",22
"took","the",22
"was","like",22
"way","that",22
"we","get",22
"where","you",22
"who","were",22
"with","no",22
"you","just",22
"a","number",21
"a","picture",21
"a","problem",21
"a","result",21
"a","strong",21
"about","her",21
"all","in",21
"all","those",21
"all","you",21
"all","your",21
"and","again",21
"and","love",21
"and","only",21
"and","said",21
"anyone","who",21
"at","first",21
"be","on",21
"before","we",21
"being","the",21
"book","is",21
"can","also",21
"care","of",21
"closer","to",21
"days","of",21
"dont","get",21
"for","about",21
"for","one",21
"give","it",21
"go","and",21
"here","we",21
"hope","that",21
"i","hate",21
"i","wont",21
"in","love",21
"it","also",21
"it","from",21
"it","takes",21
"it","took",21
"long","time",21
"me","as",21
"me","of",21
"might","not",21
"must","have",21
"name","of",21
"now","the",21
"of","new",21
"only","to",21
"or","maybe",21
"our","lives",21
"pictures","of",21
"read","it",21
"really","good",21
"story","of",21
"talk","to",21
"that","day",21
"that","one",21
"thats","not",21
"the","area",21
"the","body",21
"the","family",21
"the","internet",21
"the","life",21
"the","party",21
"the","person",21
"the","table",21
"the","war",21
"this","month",21
"to","sell",21
"to","some",21
"to","speak",21
"to","spend",21
"up","i",21
"was","able",21
"where","he",21
"which","he",21
"willing","to",21
"with","its",21
"wont","be",21
"would","never",21
"a","pretty",20
"a","sense",20
"about","his",20
"about","to",20
"ago","i",20
"and","at",20
"and","most",20
"and","our",20
"and","put",20
"and","thats",20
"and","will",20
"be","at",20
"be","found",20
"behind","the",20
"but","what",20
"come","from",20
"department","of",20
"despite","the",20
"did","it",20
"do","and",20
"few","days",20
"from","his",20
"go","on",20
"have","done",20
"i","bought",20
"i","came",20
"i","cannot",20
"i","must",20
"i","try",20
"i","wonder",20
"if","that",20
"in","other",20
"interest","in",20
"is","something",20
"is","your",20
"let","the",20
"looking","forward",20
"making","a",20
"me","for",20
"middle","of",20
"my","friend",20
"my","mom",20
"not","like",20
"nothing","to",20
"of","some",20
"of","work",20
"on","what",20
"one","i",20
"or","something",20
"out","with",20
"people","i",20
"picture","of",20
"pretty","much",20
"put","on",20
"ready","for",20
"school","and",20
"so","they",20
"something","i",20
"sure","that",20
"that","could",20
"the","card",20
"the","evening",20
"the","greatest",20
"the","media",20
"the","phone",20
"the","side",20
"the","uk",20
"the","words",20
"then","he",20
"thought","of",20
"to","remember",20
"to","us",20
"try","and",20
"we","also",20
"weeks","ago",20
"where","it",20
"which","are",20
"who","had",20
"who","will",20
"with","one",20
"with","our",20
"you","had",20
"a","half",19
"all","day",19
"although","i",19
"and","every",19
"and","no",19
"and","take",19
"as","part",19
"as","soon",19
"as","to",19
"at","me",19
"attention","to",19
"away","with",19
"back","of",19
"be","sure",19
"be","to",19
"because","she",19
"bottom","of",19
"but","as",19
"but","at",19
"comes","from",19
"copy","of",19
"deal","with",19
"far","as",19
"felt","like",19
"from","our",19
"handful","of",19
"help","you",19
"her","husband",19
"heres","a",19
"hes","a",19
"history","of",19
"i","actually",19
"i","added",19
"i","asked",19
"i","wish",19
"in","life",19
"in","particular",19
"is","about",19
"is","always",19
"is","from",19
"it","be",19
"it","it",19
"it","off",19
"just","cant",19
"know","it",19
"leave","the",19
"love","and",19
"me","it",19
"my","eyes",19
"my","friends",19
"my","kids",19
"next","day",19
"of","any",19
"on","monday",19
"one","and",19
"only","the",19
"other","hand",19
"other","than",19
"picked","up",19
"pieces","of",19
"put","it",19
"say","i",19
"see","it",19
"series","of",19
"she","doesnt",19
"so","here",19
"some","kind",19
"that","had",19
"that","our",19
"the","answer",19
"the","dark",19
"the","days",19
"the","left",19
"the","line",19
